CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetimestamp,DateTime
2.9,1087.0,17.1,1213.0,661.0,668.0,243.0,1216.0,1402.0,11.9,27.9,0.3882,1100944800,2004-11-20 10:00:00
2.2,933.0,10.3,990.0,555.0,849.0,192.0,956.0,1104.0,14.8,17.9,0.2977,1100948400,2004-11-20 11:00:00
1.6,852.0,8.5,919.0,363.0,967.0,149.0,831.0,855.0,14.8,14.3,0.2397,1100952000,2004-11-20 12:00:00
1.5,882.0,10.4,993.0,302.0,902.0,141.0,941.0,862.0,14.7,15.5,0.2586,1100955600,2004-11-20 13:00:00
1.9,888.0,10.9,1009.0,340.0,866.0,137.0,937.0,973.0,14.7,16.6,0.2756,1100959200,2004-11-20 14:00:00
1.5,878.0,10.6,1000.0,306.0,880.0,138.0,942.0,936.0,14.8,15.6,0.2615,1100962800,2004-11-20 15:00:00
1.8,892.0,11.1,1018.0,377.0,879.0,149.0,931.0,1009.0,15.3,14.3,0.2462,1100966400,2004-11-20 16:00:00
3.4,1117.0,21.1,1327.0,625.0,692.0,196.0,1302.0,1475.0,13.5,19.5,0.3003,1100970000,2004-11-20 17:00:00
1.6,1012.0,10.6,999.0,421.0,785.0,164.0,1057.0,1329.0,10.2,33.4,0.4143,1100977200,2004-11-20 19:00:00
1.2,1025.0,8.4,916.0,294.0,832.0,149.0,1018.0,1262.0,9.5,35.9,0.4273,1100980800,2004-11-20 20:00:00
1.2,1033.0,7.6,881.0,339.0,855.0,159.0,999.0,1230.0,8.0,39.8,0.4286,1100984400,2004-11-20 21:00:00
0.9,1008.0,7.1,861.0,260.0,858.0,149.0,991.0,1229.0,6.6,44.1,0.4333,1100988000,2004-11-20 22:00:00
0.7,992.0,7.2,867.0,256.0,876.0,133.0,997.0,1196.0,6.1,45.2,0.4295,1100991600,2004-11-20 23:00:00
2.5,1187.0,13.9,1114.0,572.0,700.0,216.0,1193.0,1433.0,5.2,50.8,0.452,1100995200,2004-11-21 00:00:00
1.5,1065.0,9.7,968.0,428.0,808.0,196.0,1059.0,1249.0,4.9,53.0,0.4629,1100998800,2004-11-21 01:00:00
0.5,889.0,4.9,760.0,195.0,968.0,120.0,919.0,983.0,5.3,48.7,0.4364,1101002400,2004-11-21 02:00:00
0.5,875.0,5.6,795.0,160.0,928.0,101.0,965.0,932.0,3.1,56.3,0.4368,1101009600,2004-11-21 04:00:00
0.1,808.0,2.8,636.0,101.0,1120.0,75.0,862.0,770.0,4.1,52.2,0.4338,1101013200,2004-11-21 05:00:00
0.2,858.0,2.7,633.0,97.0,1136.0,73.0,878.0,788.0,3.5,55.9,0.4431,1101016800,2004-11-21 06:00:00
0.2,862.0,4.9,757.0,227.0,983.0,116.0,938.0,879.0,1.3,65.3,0.4457,1101024000,2004-11-21 08:00:00
0.5,877.0,5.6,793.0,253.0,944.0,132.0,951.0,924.0,3.2,57.0,0.4434,1101027600,2004-11-21 09:00:00
0.4,941.0,6.4,832.0,234.0,914.0,125.0,970.0,964.0,7.2,42.8,0.4356,1101031200,2004-11-21 10:00:00
0.8,983.0,6.8,846.0,291.0,871.0,148.0,996.0,1055.0,10.3,34.2,0.4291,1101034800,2004-11-21 11:00:00
1.5,1067.0,10.1,981.0,402.0,755.0,186.0,1104.0,1383.0,10.9,33.8,0.4393,1101038400,2004-11-21 12:00:00
1.9,1100.0,11.2,1022.0,492.0,752.0,193.0,1101.0,1367.0,12.2,30.0,0.4245,1101042000,2004-11-21 13:00:00
1.1,958.0,8.7,928.0,351.0,841.0,174.0,986.0,1120.0,13.3,24.3,0.3686,1101045600,2004-11-21 14:00:00
0.3,866.0,5.0,763.0,160.0,1018.0,106.0,859.0,775.0,15.2,18.7,0.3214,1101049200,2004-11-21 15:00:00
0.9,1018.0,8.2,907.0,292.0,889.0,127.0,981.0,1150.0,14.9,21.7,0.3646,1101052800,2004-11-21 16:00:00
2.1,1175.0,12.7,1074.0,537.0,748.0,172.0,1134.0,1528.0,13.1,25.4,0.3814,1101056400,2004-11-21 17:00:00
2.4,1197.0,10.9,1012.0,607.0,717.0,179.0,1103.0,1655.0,11.7,32.7,0.4472,1101060000,2004-11-21 18:00:00
1.6,1110.0,7.4,872.0,308.0,822.0,150.0,971.0,1393.0,10.1,34.4,0.4249,1101063600,2004-11-21 19:00:00
1.1,1060.0,6.3,825.0,277.0,854.0,147.0,967.0,1338.0,9.8,36.0,0.4364,1101067200,2004-11-21 20:00:00
1.3,1136.0,7.7,885.0,348.0,806.0,163.0,1006.0,1403.0,7.1,43.2,0.436,1101070800,2004-11-21 21:00:00
0.8,1049.0,7.2,864.0,267.0,818.0,145.0,1010.0,1327.0,5.9,47.8,0.4459,1101074400,2004-11-21 22:00:00
1.0,1053.0,7.0,859.0,399.0,810.0,186.0,1008.0,1346.0,5.3,50.5,0.453,1101078000,2004-11-21 23:00:00
0.3,970.0,5.0,763.0,163.0,917.0,116.0,930.0,1132.0,5.6,48.0,0.4412,1101081600,2004-11-22 00:00:00
1.0,1049.0,8.2,907.0,297.0,795.0,145.0,1038.0,1209.0,3.9,55.9,0.4568,1101085200,2004-11-22 01:00:00
0.4,919.0,5.0,761.0,212.0,911.0,122.0,942.0,1044.0,3.3,58.0,0.4551,1101088800,2004-11-22 02:00:00
0.1,897.0,4.2,722.0,201.0,987.0,108.0,953.0,959.0,3.7,57.9,0.4651,1101103200,2004-11-22 06:00:00
0.4,988.0,6.8,850.0,333.0,861.0,149.0,1030.0,1133.0,4.5,54.8,0.466,1101106800,2004-11-22 07:00:00
2.4,1242.0,16.2,1185.0,733.0,625.0,232.0,1297.0,1511.0,4.9,55.8,0.4882,1101110400,2004-11-22 08:00:00
2.3,1255.0,20.1,1301.0,784.0,571.0,224.0,1355.0,1750.0,7.3,50.6,0.5184,1101124800,2004-11-22 12:00:00
1.7,1335.0,13.9,1112.0,444.0,570.0,130.0,1331.0,1861.0,7.7,71.1,0.7503,1101164400,2004-11-22 23:00:00
1.3,1285.0,11.6,1037.0,370.0,610.0,121.0,1277.0,1751.0,7.9,72.5,0.7766,1101168000,2004-11-23 00:00:00
1.1,1267.0,10.8,1008.0,349.0,628.0,118.0,1264.0,1652.0,8.0,75.3,0.8079,1101171600,2004-11-23 01:00:00
0.8,1176.0,8.8,930.0,287.0,679.0,113.0,1216.0,1455.0,8.0,76.2,0.8217,1101175200,2004-11-23 02:00:00
1.3,1091.0,6.4,829.0,238.0,755.0,92.0,1177.0,1126.0,8.2,81.4,0.888,1101186000,2004-11-23 05:00:00
1.4,1126.0,7.7,886.0,316.0,713.0,98.0,1225.0,1158.0,8.5,81.1,0.8989,1101189600,2004-11-23 06:00:00
2.1,1210.0,10.0,978.0,508.0,666.0,111.0,1332.0,1237.0,8.9,79.3,0.9088,1101193200,2004-11-23 07:00:00
4.0,1449.0,19.8,1291.0,718.0,482.0,138.0,1580.0,1817.0,10.0,82.6,1.0163,1101250800,2004-11-23 23:00:00
3.9,1439.0,18.6,1257.0,715.0,494.0,135.0,1571.0,1704.0,10.1,83.5,1.0296,1101254400,2004-11-24 00:00:00
2.8,1270.0,13.4,1098.0,558.0,572.0,123.0,1420.0,1463.0,10.0,83.6,1.0235,1101258000,2004-11-24 01:00:00
2.3,1163.0,10.1,980.0,467.0,654.0,106.0,1327.0,1299.0,10.4,80.8,1.0191,1101261600,2004-11-24 02:00:00
1.4,1023.0,5.4,781.0,295.0,809.0,81.0,1195.0,1019.0,10.6,78.8,1.008,1101268800,2004-11-24 04:00:00
1.0,931.0,3.4,679.0,151.0,947.0,66.0,1138.0,867.0,10.5,77.8,0.9839,1101272400,2004-11-24 05:00:00
1.0,953.0,4.1,717.0,188.0,907.0,64.0,1152.0,911.0,9.8,79.2,0.9567,1101276000,2004-11-24 06:00:00
1.8,1108.0,8.7,927.0,380.0,718.0,86.0,1315.0,1106.0,9.5,80.3,0.9532,1101279600,2004-11-24 07:00:00
3.8,1414.0,18.7,1261.0,717.0,532.0,114.0,1644.0,1479.0,9.8,80.5,0.9724,1101283200,2004-11-24 08:00:00
4.2,1423.0,21.0,1323.0,803.0,496.0,115.0,1727.0,1568.0,10.3,80.3,1.002,1101286800,2004-11-24 09:00:00
3.6,1352.0,17.7,1231.0,726.0,538.0,110.0,1605.0,1530.0,11.1,77.2,1.0175,1101290400,2004-11-24 10:00:00
3.3,1303.0,15.1,1153.0,558.0,575.0,116.0,1520.0,1582.0,13.3,68.8,1.0505,1101294000,2004-11-24 11:00:00
2.0,1103.0,8.8,931.0,427.0,711.0,162.0,1293.0,1235.0,15.1,58.3,0.9978,1101297600,2004-11-24 12:00:00
2.0,1138.0,9.7,967.0,317.0,695.0,104.0,1332.0,1195.0,15.6,56.2,0.9876,1101301200,2004-11-24 13:00:00
2.9,1278.0,14.4,1130.0,436.0,580.0,129.0,1506.0,1471.0,15.4,59.6,1.0375,1101304800,2004-11-24 14:00:00
2.7,1292.0,14.7,1141.0,490.0,556.0,146.0,1498.0,1582.0,14.6,63.7,1.0508,1101308400,2004-11-24 15:00:00
3.4,1374.0,17.4,1222.0,602.0,516.0,160.0,1582.0,1671.0,13.7,66.8,1.0432,1101312000,2004-11-24 16:00:00
4.5,1464.0,22.3,1358.0,732.0,477.0,169.0,1719.0,1711.0,12.3,72.5,1.0331,1101315600,2004-11-24 17:00:00
4.5,1354.0,19.0,1269.0,773.0,506.0,141.0,1530.0,1580.0,8.6,82.3,0.9198,1101333600,2004-11-24 22:00:00
4.1,1311.0,16.8,1203.0,761.0,542.0,123.0,1448.0,1428.0,7.7,84.3,0.8881,1101337200,2004-11-24 23:00:00
4.0,1311.0,17.5,1225.0,781.0,538.0,121.0,1464.0,1434.0,7.1,84.1,0.8557,1101340800,2004-11-25 00:00:00
4.0,1292.0,17.4,1221.0,743.0,547.0,114.0,1437.0,1389.0,6.7,83.2,0.819,1101344400,2004-11-25 01:00:00
3.0,1091.0,11.3,1025.0,533.0,666.0,93.0,1262.0,1130.0,6.0,83.0,0.78,1101348000,2004-11-25 02:00:00
2.2,1050.0,9.4,956.0,456.0,725.0,89.0,1162.0,1025.0,4.3,85.4,0.7152,1101355200,2004-11-25 04:00:00
2.2,1053.0,9.4,955.0,486.0,710.0,94.0,1154.0,1050.0,4.0,85.7,0.7041,1101358800,2004-11-25 05:00:00
2.0,1016.0,9.1,945.0,498.0,724.0,93.0,1147.0,1038.0,4.0,84.4,0.6943,1101362400,2004-11-25 06:00:00
2.2,1057.0,10.7,1004.0,585.0,702.0,100.0,1204.0,1080.0,4.0,83.1,0.682,1101366000,2004-11-25 07:00:00
4.6,1315.0,20.1,1300.0,807.0,547.0,190.0,1531.0,1659.0,10.0,63.4,0.7791,1101376800,2004-11-25 10:00:00
2.8,1111.0,11.8,1042.0,603.0,682.0,171.0,1257.0,1434.0,13.6,48.7,0.7547,1101380400,2004-11-25 11:00:00
2.1,1087.0,10.6,1000.0,391.0,706.0,127.0,1251.0,1310.0,14.6,46.5,0.7687,1101384000,2004-11-25 12:00:00
2.0,1104.0,11.4,1028.0,279.0,696.0,109.0,1263.0,1227.0,15.4,43.0,0.7483,1101387600,2004-11-25 13:00:00
2.5,1142.0,12.8,1078.0,358.0,670.0,126.0,1256.0,1261.0,16.4,38.2,0.7081,1101391200,2004-11-25 14:00:00
2.5,1164.0,13.4,1096.0,403.0,662.0,136.0,1311.0,1261.0,16.8,37.6,0.7129,1101394800,2004-11-25 15:00:00
2.8,1214.0,14.2,1124.0,465.0,659.0,156.0,1302.0,1345.0,16.8,36.7,0.6944,1101398400,2004-11-25 16:00:00
4.0,1369.0,21.8,1346.0,707.0,558.0,187.0,1537.0,1608.0,15.4,41.3,0.7151,1101402000,2004-11-25 17:00:00
4.5,1368.0,21.4,1334.0,660.0,529.0,173.0,1547.0,1653.0,13.8,48.9,0.7699,1101405600,2004-11-25 18:00:00
3.1,1226.0,15.4,1161.0,402.0,606.0,137.0,1368.0,1442.0,13.3,50.9,0.7745,1101409200,2004-11-25 19:00:00
2.6,1225.0,14.5,1134.0,350.0,614.0,122.0,1352.0,1421.0,11.5,57.3,0.7786,1101412800,2004-11-25 20:00:00
2.6,1190.0,11.4,1028.0,355.0,654.0,129.0,1287.0,1329.0,10.7,59.8,0.7674,1101416400,2004-11-25 21:00:00
2.0,1128.0,7.8,889.0,296.0,743.0,110.0,1160.0,1212.0,10.0,61.8,0.7576,1101420000,2004-11-25 22:00:00
1.8,1105.0,7.6,883.0,266.0,747.0,102.0,1180.0,1179.0,9.9,62.1,0.7566,1101423600,2004-11-25 23:00:00
2.5,1152.0,9.5,959.0,373.0,689.0,114.0,1232.0,1231.0,9.3,64.5,0.7554,1101427200,2004-11-26 00:00:00
2.3,1141.0,9.7,967.0,417.0,698.0,117.0,1245.0,1214.0,9.1,65.7,0.7607,1101430800,2004-11-26 01:00:00
2.1,1121.0,8.1,901.0,308.0,712.0,98.0,1215.0,1134.0,8.9,71.8,0.818,1101434400,2004-11-26 02:00:00
1.2,982.0,4.8,752.0,196.0,844.0,77.0,1153.0,897.0,9.0,77.3,0.8873,1101445200,2004-11-26 05:00:00
1.0,974.0,4.6,743.0,203.0,864.0,75.0,1155.0,885.0,9.1,77.3,0.8944,1101448800,2004-11-26 06:00:00
1.7,1118.0,8.4,915.0,393.0,731.0,95.0,1289.0,1059.0,9.3,76.9,0.9007,1101452400,2004-11-26 07:00:00
4.7,1518.0,19.9,1293.0,798.0,515.0,170.0,1602.0,2048.0,13.8,67.8,1.0609,1101506400,2004-11-26 22:00:00
4.3,1502.0,18.6,1256.0,696.0,560.0,154.0,1568.0,2044.0,13.4,69.0,1.0579,1101510000,2004-11-26 23:00:00
4.1,1499.0,16.9,1207.0,654.0,748.0,143.0,1530.0,1881.0,13.0,73.7,1.0957,1101513600,2004-11-27 00:00:00
4.2,1531.0,18.0,1238.0,685.0,619.0,140.0,1583.0,1774.0,12.7,77.5,1.1339,1101517200,2004-11-27 01:00:00
3.8,1424.0,14.9,1145.0,574.0,641.0,122.0,1482.0,1615.0,12.4,78.4,1.1269,1101520800,2004-11-27 02:00:00
2.4,1250.0,9.1,942.0,319.0,755.0,103.0,1323.0,1380.0,11.9,80.7,1.1199,1101528000,2004-11-27 04:00:00
2.0,1189.0,7.3,870.0,263.0,821.0,97.0,1272.0,1251.0,13.2,75.8,1.1459,1101531600,2004-11-27 05:00:00
1.7,1197.0,7.6,881.0,320.0,820.0,99.0,1295.0,1173.0,12.3,81.9,1.1674,1101535200,2004-11-27 06:00:00
2.1,1273.0,9.2,946.0,439.0,729.0,110.0,1349.0,1217.0,12.8,80.8,1.1898,1101538800,2004-11-27 07:00:00
2.5,1298.0,11.1,1017.0,398.0,727.0,110.0,1418.0,1193.0,13.7,76.3,1.1932,1101542400,2004-11-27 08:00:00
3.8,1453.0,16.3,1190.0,637.0,583.0,121.0,1644.0,1358.0,13.4,78.8,1.2104,1101546000,2004-11-27 09:00:00
3.9,1492.0,17.8,1233.0,699.0,561.0,122.0,1672.0,1481.0,13.8,77.8,1.2201,1101549600,2004-11-27 10:00:00
4.2,1481.0,16.7,1202.0,699.0,768.0,136.0,1639.0,1532.0,15.1,73.2,1.244,1101553200,2004-11-27 11:00:00
4.0,1524.0,17.6,1228.0,707.0,853.0,170.0,1646.0,1675.0,15.8,70.5,1.2557,1101556800,2004-11-27 12:00:00
4.4,1562.0,19.4,1280.0,743.0,479.0,156.0,1711.0,1709.0,15.4,73.3,1.27,1101560400,2004-11-27 13:00:00
4.7,1567.0,20.1,1300.0,745.0,473.0,158.0,1753.0,1743.0,15.6,71.4,1.2596,1101564000,2004-11-27 14:00:00
4.6,1568.0,19.4,1280.0,741.0,479.0,174.0,1703.0,1774.0,16.3,68.7,1.2596,1101567600,2004-11-27 15:00:00
4.8,1622.0,20.5,1312.0,765.0,477.0,187.0,1727.0,1804.0,16.4,68.2,1.2662,1101571200,2004-11-27 16:00:00
4.5,1515.0,18.7,1259.0,632.0,508.0,147.0,1695.0,1555.0,15.6,70.2,1.238,1101574800,2004-11-27 17:00:00
5.6,1603.0,24.5,1417.0,808.0,459.0,136.0,1871.0,1621.0,14.2,75.8,1.2202,1101578400,2004-11-27 18:00:00
4.9,1514.0,21.3,1334.0,703.0,489.0,134.0,1755.0,1614.0,14.0,74.6,1.1865,1101582000,2004-11-27 19:00:00
5.3,1567.0,23.5,1392.0,764.0,470.0,126.0,1821.0,1637.0,13.3,75.8,1.1506,1101585600,2004-11-27 20:00:00
4.6,1380.0,15.5,1163.0,667.0,573.0,130.0,1547.0,1485.0,13.7,72.5,1.1326,1101589200,2004-11-27 21:00:00
2.4,1214.0,9.9,972.0,355.0,663.0,98.0,1359.0,1280.0,12.8,73.8,1.0853,1101592800,2004-11-27 22:00:00
2.7,1225.0,10.1,982.0,359.0,656.0,89.0,1358.0,1236.0,11.2,78.3,1.0415,1101596400,2004-11-27 23:00:00
2.5,1250.0,10.3,989.0,327.0,665.0,88.0,1343.0,1204.0,10.6,79.4,1.0133,1101600000,2004-11-28 00:00:00
2.3,1143.0,7.6,882.0,289.0,738.0,86.0,1260.0,1069.0,10.8,77.5,1.0027,1101603600,2004-11-28 01:00:00
1.3,953.0,4.2,722.0,138.0,911.0,70.0,1148.0,828.0,10.3,77.6,0.9743,1101610800,2004-11-28 03:00:00
1.0,913.0,3.1,659.0,86.0,1010.0,55.0,1121.0,748.0,10.3,74.9,0.9362,1101614400,2004-11-28 04:00:00
0.9,858.0,1.6,554.0,60.0,1207.0,45.0,1047.0,663.0,11.2,69.0,0.9159,1101618000,2004-11-28 05:00:00
0.7,848.0,1.7,560.0,62.0,1206.0,44.0,1045.0,644.0,8.9,77.1,0.8804,1101621600,2004-11-28 06:00:00
0.8,871.0,1.5,548.0,73.0,1197.0,50.0,1025.0,662.0,9.5,73.3,0.8719,1101625200,2004-11-28 07:00:00
1.0,909.0,2.6,624.0,157.0,1056.0,74.0,1073.0,736.0,8.6,77.2,0.8617,1101628800,2004-11-28 08:00:00
1.1,906.0,2.8,637.0,166.0,1024.0,81.0,1070.0,761.0,8.6,76.6,0.8586,1101632400,2004-11-28 09:00:00
0.8,859.0,1.9,573.0,98.0,1126.0,65.0,1039.0,696.0,9.7,72.0,0.8649,1101636000,2004-11-28 10:00:00
1.4,1028.0,5.2,773.0,153.0,877.0,76.0,1194.0,871.0,11.1,68.2,0.8979,1101639600,2004-11-28 11:00:00
2.2,1089.0,6.5,835.0,307.0,778.0,110.0,1216.0,1004.0,11.8,65.0,0.8966,1101643200,2004-11-28 12:00:00
2.7,1184.0,9.4,954.0,416.0,701.0,124.0,1313.0,1133.0,12.1,64.8,0.9135,1101646800,2004-11-28 13:00:00
2.3,1136.0,8.2,906.0,346.0,729.0,120.0,1274.0,1140.0,12.6,63.2,0.9209,1101650400,2004-11-28 14:00:00
1.9,1069.0,6.9,854.0,252.0,780.0,99.0,1242.0,999.0,13.4,61.9,0.9513,1101654000,2004-11-28 15:00:00
2.7,1214.0,8.6,922.0,326.0,741.0,117.0,1273.0,1124.0,13.3,63.3,0.9597,1101657600,2004-11-28 16:00:00
3.2,1212.0,8.6,926.0,490.0,720.0,132.0,1283.0,1193.0,11.2,70.9,0.9406,1101661200,2004-11-28 17:00:00
3.2,1218.0,10.1,981.0,452.0,677.0,113.0,1335.0,1258.0,9.6,76.5,0.9184,1101664800,2004-11-28 18:00:00
3.5,1279.0,12.6,1069.0,542.0,628.0,117.0,1418.0,1356.0,9.9,76.3,0.9296,1101668400,2004-11-28 19:00:00
4.5,1382.0,16.5,1196.0,605.0,573.0,127.0,1543.0,1468.0,10.4,74.6,0.9394,1101672000,2004-11-28 20:00:00
4.1,1292.0,13.0,1085.0,577.0,620.0,132.0,1438.0,1390.0,10.3,75.1,0.9399,1101675600,2004-11-28 21:00:00
3.3,1250.0,12.1,1054.0,491.0,634.0,121.0,1407.0,1348.0,10.4,75.4,0.947,1101679200,2004-11-28 22:00:00
3.1,1260.0,11.4,1030.0,492.0,639.0,122.0,1378.0,1355.0,10.5,75.4,0.9566,1101682800,2004-11-28 23:00:00
3.0,1203.0,10.3,988.0,412.0,658.0,113.0,1350.0,1315.0,10.2,78.4,0.9757,1101686400,2004-11-29 00:00:00
2.3,1146.0,8.0,900.0,283.0,718.0,99.0,1280.0,1183.0,9.9,80.5,0.984,1101690000,2004-11-29 01:00:00
2.3,1130.0,8.1,902.0,280.0,715.0,86.0,1289.0,1117.0,9.8,81.4,0.9855,1101693600,2004-11-29 02:00:00
1.5,993.0,4.2,720.0,156.0,891.0,66.0,1143.0,925.0,8.9,83.0,0.9487,1101700800,2004-11-29 04:00:00
1.3,987.0,4.9,759.0,166.0,856.0,67.0,1162.0,940.0,8.8,83.7,0.9529,1101704400,2004-11-29 05:00:00
1.4,1018.0,5.7,800.0,225.0,821.0,78.0,1185.0,956.0,8.7,84.2,0.9526,1101708000,2004-11-29 06:00:00
2.0,1129.0,9.8,971.0,325.0,707.0,90.0,1315.0,1064.0,8.7,83.7,0.9454,1101711600,2004-11-29 07:00:00
4.2,1440.0,20.6,1312.0,760.0,537.0,120.0,1657.0,1515.0,9.6,80.8,0.9687,1101715200,2004-11-29 08:00:00
2.5,1163.0,11.1,1016.0,366.0,781.0,120.0,1363.0,1339.0,18.6,49.1,1.0425,1101733200,2004-11-29 13:00:00
2.6,1186.0,12.8,1077.0,346.0,797.0,121.0,1404.0,1328.0,18.6,49.3,1.0451,1101736800,2004-11-29 14:00:00
1.9,1166.0,10.8,1007.0,289.0,775.0,117.0,1391.0,1227.0,18.4,49.9,1.0453,1101740400,2004-11-29 15:00:00
2.3,1200.0,11.4,1027.0,316.0,760.0,121.0,1416.0,1199.0,17.9,51.4,1.0488,1101744000,2004-11-29 16:00:00
1.9,1134.0,8.1,903.0,238.0,821.0,107.0,1299.0,1046.0,18.0,51.9,1.0622,1101747600,2004-11-29 17:00:00
2.3,1161.0,10.0,979.0,267.0,758.0,115.0,1375.0,1132.0,16.7,57.3,1.0813,1101751200,2004-11-29 18:00:00
1.8,1117.0,7.3,871.0,182.0,781.0,94.0,1320.0,986.0,17.3,57.0,1.1137,1101754800,2004-11-29 19:00:00
1.9,1114.0,7.3,872.0,197.0,857.0,98.0,1310.0,991.0,16.8,58.7,1.1109,1101758400,2004-11-29 20:00:00
1.4,1022.0,4.6,744.0,149.0,1224.0,87.0,1210.0,847.0,16.5,59.2,1.1021,1101762000,2004-11-29 21:00:00
1.0,1002.0,3.9,704.0,105.0,1472.0,69.0,1202.0,752.0,16.0,61.6,1.1127,1101769200,2004-11-29 23:00:00
1.2,1032.0,3.6,688.0,109.0,1514.0,67.0,1200.0,737.0,15.6,66.6,1.1763,1101772800,2004-11-30 00:00:00
1.4,1052.0,5.1,766.0,169.0,1031.0,81.0,1302.0,796.0,13.8,80.4,1.2621,1101776400,2004-11-30 01:00:00
1.2,1014.0,4.5,737.0,124.0,1509.0,75.0,1288.0,765.0,13.2,84.4,1.2779,1101780000,2004-11-30 02:00:00
0.6,878.0,1.2,518.0,50.0,1294.0,42.0,1149.0,539.0,13.8,81.3,1.2767,1101787200,2004-11-30 04:00:00
0.6,840.0,1.4,534.0,47.0,1268.0,38.0,1109.0,483.0,13.6,75.5,1.172,1101790800,2004-11-30 05:00:00
0.7,879.0,1.9,575.0,110.0,1262.0,64.0,1111.0,537.0,11.5,81.4,1.1025,1101794400,2004-11-30 06:00:00
1.1,999.0,3.6,690.0,193.0,1027.0,86.0,1192.0,707.0,11.8,80.7,1.1181,1101798000,2004-11-30 07:00:00
2.5,1251.0,11.0,1015.0,475.0,751.0,127.0,1453.0,1070.0,12.3,78.9,1.1283,1101801600,2004-11-30 08:00:00
3.6,1351.0,17.5,1226.0,420.0,648.0,122.0,1649.0,1248.0,13.0,76.0,1.1317,1101805200,2004-11-30 09:00:00
3.6,1312.0,15.9,1177.0,439.0,711.0,141.0,1588.0,1261.0,13.7,70.9,1.1076,1101808800,2004-11-30 10:00:00
3.3,1201.0,13.4,1098.0,461.0,763.0,139.0,1500.0,1209.0,14.0,70.9,1.1244,1101812400,2004-11-30 11:00:00
2.0,1120.0,8.8,932.0,238.0,897.0,105.0,1301.0,1039.0,14.6,65.9,1.088,1101816000,2004-11-30 12:00:00
1.9,1071.0,9.4,955.0,232.0,940.0,103.0,1311.0,977.0,14.9,59.9,1.0063,1101819600,2004-11-30 13:00:00
2.2,1085.0,9.7,967.0,241.0,943.0,108.0,1321.0,976.0,14.9,58.4,0.9839,1101823200,2004-11-30 14:00:00
2.2,1113.0,10.1,980.0,278.0,984.0,109.0,1311.0,995.0,15.3,54.3,0.9357,1101826800,2004-11-30 15:00:00
3.8,1310.0,20.2,1301.0,496.0,746.0,149.0,1694.0,1350.0,14.6,56.6,0.9367,1101830400,2004-11-30 16:00:00
3.5,1183.0,14.2,1122.0,464.0,897.0,143.0,1476.0,1215.0,12.6,62.0,0.9027,1101834000,2004-11-30 17:00:00
5.2,1362.0,22.8,1373.0,600.0,755.0,159.0,1698.0,1461.0,11.9,62.3,0.8674,1101837600,2004-11-30 18:00:00
6.3,1408.0,28.0,1502.0,692.0,640.0,178.0,1843.0,1598.0,11.6,64.3,0.8789,1101841200,2004-11-30 19:00:00
4.1,1157.0,12.4,1063.0,491.0,905.0,160.0,1394.0,1223.0,10.7,73.9,0.9502,1101848400,2004-11-30 21:00:00
2.3,1061.0,8.0,899.0,284.0,1067.0,117.0,1277.0,939.0,9.6,83.0,0.9899,1101852000,2004-11-30 22:00:00
1.9,1006.0,6.5,836.0,245.0,1226.0,113.0,1210.0,902.0,9.6,79.9,0.9579,1101855600,2004-11-30 23:00:00
2.2,1039.0,7.5,880.0,273.0,1198.0,113.0,1251.0,933.0,9.8,79.4,0.9626,1101859200,2004-12-01 00:00:00
3.4,1318.0,18.1,1243.0,641.0,1261.0,121.0,1638.0,1318.0,9.0,79.8,0.9203,1101888000,2004-12-01 08:00:00
3.2,1202.0,13.0,1083.0,629.0,1376.0,143.0,1410.0,1340.0,11.0,74.4,0.9736,1101898800,2004-12-01 11:00:00
3.5,1309.0,17.1,1212.0,737.0,1267.0,182.0,1533.0,1556.0,13.8,63.6,0.9959,1101902400,2004-12-01 12:00:00
4.0,1351.0,19.3,1278.0,712.0,1249.0,163.0,1623.0,1582.0,13.6,65.6,1.0167,1101906000,2004-12-01 13:00:00
3.0,1124.0,11.9,1047.0,401.0,1401.0,126.0,1419.0,1193.0,12.5,72.6,1.0489,1101927600,2004-12-01 19:00:00
2.6,1090.0,10.1,981.0,279.0,1513.0,113.0,1390.0,1044.0,11.8,76.1,1.0544,1101931200,2004-12-01 20:00:00
1.4,1073.0,7.2,867.0,336.0,768.0,89.0,1329.0,981.0,12.5,76.4,1.1021,1101970800,2004-12-02 07:00:00
4.2,1435.0,21.6,1341.0,804.0,501.0,131.0,1787.0,1480.0,12.9,73.8,1.0937,1101974400,2004-12-02 08:00:00
4.4,1337.0,19.2,1275.0,745.0,525.0,145.0,1655.0,1548.0,14.3,66.1,1.0711,1101981600,2004-12-02 10:00:00
3.4,1308.0,16.4,1191.0,685.0,537.0,137.0,1559.0,1523.0,15.4,63.9,1.1071,1101985200,2004-12-02 11:00:00
2.8,1245.0,14.8,1143.0,639.0,569.0,128.0,1531.0,1406.0,15.9,62.7,1.1273,1101988800,2004-12-02 12:00:00
3.4,1295.0,16.8,1205.0,668.0,538.0,128.0,1579.0,1476.0,16.4,61.9,1.1465,1101992400,2004-12-02 13:00:00
2.9,1338.0,16.9,1208.0,469.0,539.0,123.0,1600.0,1481.0,18.0,58.0,1.1901,1101996000,2004-12-02 14:00:00
